filename,composite_rank,n_metrics,laplacian,laplacian_rank,brisque,brisque_rank,niqe,niqe_rank,musiq,musiq_rank,clipiqa,clipiqa_rank
00001474.jpg,14.8,5,293.0175,41,3.9603,6,2.7313,24,54.1907,2,0.6206,1
00001520.jpg,15.8,5,239.9981,58,2.5668,4,2.2689,2,54.4441,1,0.4626,14
00001089.jpg,18.0,5,244.7342,56,-6.0612,2,2.4504,7,51.8689,4,0.4085,21
00000854.jpg,19.8,5,331.3289,33,7.4653,12,2.6046,15,50.2347,7,0.372,32
00001030.jpg,20.8,5,416.3998,19,12.1194,38,2.6874,20,44.5428,21,0.5091,6
00000513.jpg,23.0,5,423.9405,15,9.2347,20,2.6244,16,44.384,24,0.3517,40
00001403.jpg,25.2,5,256.9136,52,8.762,18,2.5395,11,50.9675,6,0.3582,39
00000110.jpg,25.6,5,326.4489,34,16.3493,61,2.5312,10,48.2473,12,0.479,11
00000407.jpg,27.4,5,213.8757,60,-10.7594,1,2.6507,18,43.8564,25,0.3682,33
00001273.jpg,28.0,5,523.1856,8,20.5035,77,2.7495,25,44.4401,23,0.5051,7
00000531.jpg,28.4,5,358.8599,27,29.9341,93,2.272,4,49.59,8,0.4931,10
00000377.jpg,29.4,5,420.8925,17,-0.0676,3,3.0967,45,38.574,44,0.3583,38
00001256.jpg,30.2,5,183.6607,72,8.1024,13,2.9983,38,44.559,20,0.4994,8
00000986.jpg,30.4,5,303.8152,38,10.7532,27,3.0927,44,39.9346,38,0.5182,5
00001092.jpg,30.6,5,365.7928,26,10.2731,25,2.7195,22,32.4088,64,0.4524,16
00000775.jpg,31.0,5,263.5443,49,13.2291,43,2.7846,26,41.7838,34,0.582,3
00001161.jpg,31.0,5,414.3525,20,13.2272,42,2.9895,37,43.2435,29,0.3881,27
00001610.jpg,32.2,5,416.9897,18,16.1444,58,2.3745,5,41.2294,36,0.3466,44
00001428.jpg,33.2,5,422.4886,16,14.96,53,2.832,29,40.4337,37,0.3731,31
00000784.jpg,33.8,5,315.7282,37,15.534,55,2.8731,32,48.3663,10,0.3663,35
00001563.jpg,35.0,5,652.3755,1,16.1775,60,2.4012,6,34.0503,61,0.3417,47
00000957.jpg,36.0,5,144.883,81,4.8458,7,3.1585,51,43.7843,26,0.4598,15
00000881.jpg,36.6,5,442.5007,13,13.8492,47,3.3654,68,38.6265,43,0.4689,12
00001588.jpg,36.6,5,535.6358,7,16.9166,65,3.1782,52,38.8885,42,0.4346,17
00001137.jpg,37.0,5,195.0337,68,16.0726,57,2.2714,3,48.033,14,0.3475,43
00000558.jpg,37.8,5,542.2661,5,16.1707,59,2.6309,17,31.3619,67,0.3513,41
00001178.jpg,39.2,5,382.2577,25,11.4188,33,3.6703,89,37.7516,45,0.5374,4
00000738.jpg,40.4,5,240.8817,57,5.2479,9,3.0897,43,35.8094,51,0.348,42
00000462.jpg,40.6,5,345.0606,31,26.776,88,3.1423,48,47.3684,16,0.4135,20
00000663.jpg,40.6,5,166.6484,75,8.1411,14,3.3356,64,43.2527,28,0.4076,22
00000772.jpg,40.6,5,353.1608,29,26.3776,85,2.7238,23,39.4762,40,0.3897,26
00000080.jpg,41.4,5,406.1194,23,14.5504,50,2.4673,8,31.1725,69,0.3178,57
00001669.jpg,41.4,5,205.5298,62,15.2497,54,3.219,54,46.0488,18,0.4291,19
00001194.jpg,42.0,5,291.8109,42,26.3874,86,2.5592,13,48.2515,11,0.3177,58
00000097.jpg,42.6,5,270.1435,46,11.6026,35,3.2662,57,39.0641,41,0.3663,34
00000165.jpg,42.6,5,245.356,55,14.9305,52,2.9343,34,35.352,54,0.4293,18
00001010.jpg,43.2,5,147.0035,80,6.5472,11,3.1539,50,52.8869,3,0.2835,72
00001068.jpg,43.8,5,247.4151,54,9.9069,23,2.5028,9,32.1001,66,0.2974,67
00000662.jpg,44.2,5,192.9584,69,12.9316,40,3.4101,73,47.7207,15,0.3983,24
00001658.jpg,44.2,5,565.2906,3,23.5289,84,3.5644,86,39.8591,39,0.4977,9
00001472.jpg,45.0,5,72.46,94,2.7762,5,3.3022,59,45.6259,19,0.3413,48
00000219.jpg,46.6,5,388.2909,24,13.6927,44,2.0799,1,26.9049,79,0.2479,85
00000940.jpg,47.6,5,255.2748,53,17.1282,66,2.712,21,42.4378,30,0.2929,68
00000916.jpg,49.2,5,549.3001,4,30.7361,97,3.5072,79,35.6827,53,0.4655,13
00001402.jpg,50.8,5,442.4057,14,11.2716,32,3.3269,63,26.0388,80,0.2988,65
00000258.jpg,51.0,5,300.4696,39,15.9928,56,3.5606,85,29.3483,73,0.6036,2
00000898.jpg,51.8,5,351.6397,30,11.2331,31,3.4377,75,31.1184,70,0.3252,53
00001211.jpg,52.2,5,486.9343,12,34.9463,99,3.5269,81,46.585,17,0.3303,52
00000889.jpg,52.4,5,166.1161,76,16.7719,64,3.1099,46,44.4655,22,0.3251,54
00000998.jpg,52.8,5,66.4078,95,16.4967,63,3.2566,56,50.9966,5,0.3445,45
00001787.jpg,52.8,5,187.193,70,10.8849,30,3.0408,41,29.5764,72,0.3323,51
00000680.jpg,53.0,5,96.5486,89,11.6378,37,3.2419,55,36.4704,48,0.3632,36
00001799.jpg,53.2,5,261.5095,51,28.1329,92,2.9157,33,32.1847,65,0.3964,25
00000392.jpg,53.4,5,325.14,36,20.4156,75,2.8332,30,19.9372,97,0.3866,29
00000765.jpg,53.8,5,130.0303,84,13.8953,48,2.9409,35,42.1383,32,0.2875,70
00000933.jpg,53.8,5,261.9567,50,5.2347,8,3.3536,66,24.9909,86,0.3139,59
00001452.jpg,54.2,5,297.449,40,5.9059,10,2.8193,27,18.6866,99,0.2178,95
00001473.jpg,54.2,5,355.6749,28,26.7473,87,2.5412,12,35.2386,55,0.2439,89
00000782.jpg,55.4,5,151.3294,77,21.3876,81,2.822,28,42.4007,31,0.3069,60
00001478.jpg,55.6,5,205.3321,63,8.5786,15,3.7662,92,33.8362,62,0.3418,46
00001991.jpg,55.8,5,203.4857,64,10.7654,28,3.0327,39,29.671,71,0.2595,77
00000677.jpg,56.4,5,175.4903,73,8.7184,16,3.3951,71,36.4156,49,0.2713,73
00000869.jpg,56.8,5,593.559,2,19.2751,72,3.4384,76,41.4018,35,0.191,99
00000408.jpg,57.6,5,199.114,67,20.4813,76,2.5759,14,35.0915,56,0.2632,75
00000153.jpg,58.2,5,106.7134,87,21.1895,80,3.4217,74,48.1461,13,0.3602,37
00000852.jpg,58.4,5,501.5079,10,31.1835,98,3.6987,91,32.8745,63,0.3807,30
00001500.jpg,58.4,5,185.32,71,14.1216,49,3.0366,40,28.3441,77,0.3236,55
00000213.jpg,59.4,5,201.6172,66,8.752,17,3.4972,78,34.901,57,0.2572,79
00000195.jpg,59.8,5,88.8092,91,10.8369,29,3.304,61,37.0841,47,0.2865,71
00001454.jpg,60.6,5,492.3341,11,12.5652,39,3.5382,84,28.9277,75,0.2233,94
00000572.jpg,61.0,5,149.1454,79,17.5392,67,3.4101,72,34.5885,59,0.3871,28
00001535.jpg,61.0,5,203.1536,65,10.2426,24,3.0872,42,25.2707,83,0.233,91
00000156.jpg,61.4,5,167.7181,74,21.0328,79,3.1407,47,37.5069,46,0.3057,61
00000892.jpg,61.8,5,264.5257,48,13.7899,46,3.5315,82,35.9065,50,0.2506,83
00001471.jpg,62.0,5,291.4508,43,27.5084,90,2.6604,19,25.4872,82,0.2616,76
00000124.jpg,63.0,5,325.68,35,20.129,74,3.3032,60,34.8767,58,0.2459,88
00000398.jpg,63.4,5,111.6792,86,9.7897,22,3.3106,62,27.4529,78,0.2876,69
00000634.jpg,64.0,5,121.4922,85,11.6196,36,3.3567,67,31.2165,68,0.2989,64
00000465.jpg,65.2,5,281.7672,45,13.7552,45,3.8729,95,22.9305,91,0.3345,50
00001073.jpg,65.2,5,102.1313,88,19.991,73,3.2855,58,41.8053,33,0.2679,74
00000592.jpg,65.4,5,539.6439,6,28.1226,91,3.3758,69,18.7465,98,0.2994,63
00000517.jpg,66.2,5,33.8846,100,23.3075,83,3.6744,90,49.1066,9,0.3404,49
00000509.jpg,66.6,5,409.1571,22,9.7298,21,4.1557,98,14.2767,100,0.2326,92
00000266.jpg,66.8,5,283.721,44,12.9675,41,3.4533,77,25.1817,85,0.2469,87
00000325.jpg,67.0,5,264.6988,47,16.4142,62,2.9617,36,22.0035,94,0.2099,96
00000158.jpg,67.2,5,136.3775,83,18.6545,69,3.6155,87,29.1446,74,0.4062,23
00001009.jpg,67.4,5,213.4647,61,19.1129,71,2.8532,31,28.7044,76,0.1958,98
00000714.jpg,67.6,5,513.1333,9,18.4399,68,4.159,99,20.606,96,0.2981,66
00000164.jpg,68.2,5,83.8391,92,11.5027,34,3.348,65,34.3576,60,0.2374,90
00001512.jpg,69.4,5,142.2591,82,9.043,19,3.5321,83,26.0157,81,0.2527,82
00000900.jpg,70.0,5,226.0005,59,14.8856,51,3.3792,70,23.4944,89,0.2539,81
00001545.jpg,70.8,5,411.4659,21,20.6446,78,4.4998,100,22.4545,93,0.3055,62
00001769.jpg,71.4,5,94.7501,90,10.5154,26,3.1987,53,24.2606,88,0.1184,100
00000529.jpg,74.4,5,46.4446,97,30.0516,95,3.9676,97,43.3285,27,0.3204,56
00000950.jpg,77.8,5,337.0325,32,26.8685,89,3.8039,93,20.9117,95,0.2555,80
00000475.jpg,78.4,5,55.5682,96,23.2638,82,3.1426,49,24.6916,87,0.2588,78
00000231.jpg,84.4,5,150.2674,78,18.6841,70,3.9645,96,22.7941,92,0.2473,86
00000446.jpg,85.0,5,40.9556,98,30.0388,94,3.6547,88,35.6889,52,0.2325,93
00000934.jpg,88.6,5,36.281,99,30.5466,96,3.5237,80,25.1966,84,0.2495,84
00002031.jpg,94.8,5,81.303,93,43.8967,100,3.8298,94,23.0506,90,0.2087,97
